"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"125","A12",3,"D","right","atop","silvil rae titil","[0,[2]]",1597768642,"true","2","srt","tvsk"
"126","A12",3,"D","right","atop","vuntun moy titil","[1,0]",1597768659,"true","2","vmt","tvsk"
"127","A12",3,"D","right","atop","titil moy kaku","[0,3]",1597768671,"true","2","tmk","tvsk"
"128","A12",3,"D","right","atop","vuntun rae kaku","[3,[1]]",1597768680,"true","2","vrk","tvsk"
"129","A12",3,"D","right","atop","silvil moy kaku","[2,3]",1597768691,"true","2","smk","tvsk"
"130","A12",3,"D","right","atop","silvil moy kaku","[3,2]",1597768707,"true","2","smk","tvsk"
"131","A12",3,"D","right","atop","titil rae silvil","[2,[0]]",1597768715,"true","2","trs","tvsk"
"132","A12",3,"D","right","atop","vuntun rae silvil","[2,[1]]",1597768723,"true","2","vrs","tvsk"
"133","A12",3,"D","right","atop","titil moy kaku","[3,0]",1597768732,"false","2","tmk","tvsk"
"134","A12",3,"D","right","atop","silvil rae vuntun","[1,[2]]",1597768739,"false","2","srv","tvsk"
"135","A12",3,"D","right","atop","vuntun moy titil","[0,1]",1597768748,"false","2","vmt","tvsk"
"136","A12",3,"D","right","atop","kaku rae vuntun","[1,[3]]",1597768757,"false","2","krv","tvsk"
"137","A12",3,"D","right","atop","silvil rae kaku rae kaku","[[3,[3]],[2]]",1597768780,"true","3","srkrk","tvsk"
"138","A12",3,"D","right","atop","titil rae kaku silvil moy","[2,[3,[0]]]",1597768805,"true","3","trksm","tvsk"
"139","A12",3,"D","right","atop","titil moy silvil rae titil","[0,[[2,0]]]",1597768821,"true","3","tmsrt","tvsk"
"140","A12",3,"D","right","atop","titil rae moy kaku silvil","[[3,2],[0]]",1597768842,"true","3","trmks","tvsk"
"141","A12",3,"D","right","atop","silvil rae rae vuntun silvil","[[1,[2]],[2]]",1597768884,"true","3","srrvs","tvsk"
"142","A12",3,"D","right","atop","kaku rae kaku vuntun moy","[1,[3,[3]]]",1597768900,"true","3","krkvm","tvsk"
"143","A12",3,"D","right","atop","silvil rae vuntun moy silvil","[[1,[2]],2]",1597768924,"true","3","srvms","tvsk"
"144","A12",3,"D","right","atop","vuntun rae titil moy kaku","[[0,3],[1]]",1597768945,"true","3","vrtmk","tvsk"
"145","A12",3,"D","right","atop","vuntun moy vuntun rae titil","[0,[[1,1]]]",1597768961,"false","3","vmvrt","tvsk"
"146","A12",3,"D","right","atop","kaku moy kaku moy titil","[[3,3],0]",1597768982,"false","3","kmkmt","tvsk"
"147","A12",3,"D","right","atop","vuntun rae vuntun moy titil","[[1,[1]],0]",1597768990,"false","3","vrvmt","tvsk"
"148","A12",3,"D","right","atop","vuntun moy silvil moy titil","[[1,2],0]",1597769002,"false","3","vmsmt","tvsk"
"149","A12",3,"D","right","atop","kaku moy silvil moy kaku rae silvil","[3,[2,[2,[3]]]]",1597769016,"false","4","kmsmkrs","tvsk"
"150","A12",3,"D","right","atop","silvil moy silvil moy vuntun rae vuntun","[1,[[2,[2,1]]]]",1597769032,"false","4","smsmvrv","tvsk"
"151","A12",3,"D","right","atop","kaku rae kaku moy vuntun moy kaku","[[[3,1],[3]],3]",1597769050,"false","4","krkmvmk","tvsk"
"152","A12",3,"D","right","atop","vuntun moy vuntun rae kaku kaku titil","[0,[[3,[[1,1]]]]]",1597769067,"false","4","vmvrkkt","tvsk"
"153","A12",3,"D","right","atop","silvil rae titil moy vuntun moy titil","[[[0,1],0],[2]]",1597769085,"false","4","srtmvmt","tvsk"
"154","A12",3,"D","right","atop","silvil moy titil moy vuntun moy silvil","[[[2,0],1],2]",1597769100,"false","4","smtmvms","tvsk"
"155","A12",3,"D","right","atop","silvil rae silvil rae kaku moy titil","[0,[3,[[0,[0]]]]]",1597769121,"false","4","srsrkmt","tvsk"
"156","A12",3,"D","right","atop","kaku rae silvil rae vuntun rae silvil","[[[2,[1]],[2]],[3]]",1597769137,"false","4","krsrvrs","tvsk"
"157","A12",3,"D","right","atop","silvil moy kaku rae titil moy silvil","[2,[0,[[2,3]]]]",1597769156,"false","4","smkrtms","tvsk"
"158","A12",3,"D","right","atop","vuntun rae vuntun moy kaku moy titil","[[[1,[1]],3],0]",1597769167,"false","4","vrvmkmt","tvsk"
"159","A12",3,"D","right","atop","titil rae titil rae vuntun moy vuntun","[[[1,[0]],[0]],1]",1597769182,"false","4","trtrvmv","tvsk"
"160","A12",3,"D","right","atop","silvil rae titil rae kaku moy kaku","[[[3,3],[0]],[2]]",1597769198,"false","4","srtrkmk","tvsk"
"161","A13",4,"C","right","atop","kuka","0",1597839326,"true","1","k","kvts"
"162","A13",4,"C","right","atop","vinkin","1",1597839336,"true","1","v","kvts"
"163","A13",4,"C","right","atop","tultol","2",1597839339,"true","1","t","kvts"
"164","A13",4,"C","right","atop","solsil","3",1597839343,"true","1","s","kvts"
"165","A13",4,"C","right","atop","kuka rae vinkin","[0,[2]]",1597839356,"true","2","krv","kvts"
"166","A13",4,"C","right","atop","solsil moy kuka","[1,0]",1597839368,"true","2","smk","kvts"
